week_num,avg_temp,city,country,lat,lon
49,1.46,Birmingham,United Kingdom,52.49,-1.86
49,2.06,London,United Kingdom,51.52,-0.11
49,2.9,Amsterdam,Netherlands,52.37,4.89
49,3.96,Dublin,Ireland,53.33,-6.25
49,9.97,Rio Gallegos,Argentina,-51.63,-69.22
50,13.4,Rio Gallegos,Argentina,-51.63,-69.22
50,-3.11,Bremen,Germany,53.08,8.8
50,3.54,Dublin,Ireland,53.33,-6.25
50,-0.23,Birmingham,United Kingdom,52.49,-1.86
50,-6.79,Minsk,Belarus,53.9,27.57
50,-19.04,Irkutsk,Russia,52.27,104.33
